id,work,date,issue,page,block,text,label,label_grouped
243,debats,1845_09_03,1,3,P3_TB00008,"par tant de caprices spirituels et imprévus; ces penseurs pour qui il a ouvert des champs incommensurables à la rêverie ; ces amans qu il a fait pleurer en éveillant le souvenir des premiers jours de leur tendresse ; ces cœurs serrés par la main d une destinée injuste, auxquels ses accens énergiques ont donné la force d une révolte momentanée, et qui, se soulevant indignés, ont trouvé une voix pour mêler leurs cris de rage et de douleur aux accens furieux de son orchestre; ces âmes religieuses auxquelles il a parlé de Dieu; ces admirateurs de la nature, pour qui il a peint de couleurs si vraies la vie nonchalante et contemplative des champs aux beaux jours de l été, les joies du village, les terreurs causées par la tempête, les ravages de l ouragan , et le rayon consolateur revenant au travers des lambeaux des nuées sourire au pâtre inquiet et rendre l espérance au laboureur épouvanté ; c est maintenant que toutes ces organisations, où là sensibilité est unie à l intelligence, sur lesquelles a byonné son génie paisible ou menaçant, tendent vers lui comme versùn bienfaiteur et un père. Mais il est bien tard ; ce Beethoven de bronze est insensible à tant d hommages, et il est triste de penser que le Beethoven vivant, dont on honore ainsi la mémoire, n eût peut-être pas obtenu de sa ville natale, aux jours de souffrance et de dénûment, qui furent nombreux durant sa pénible carrière , la dix-millième partie des sommes prodiguées pour lui après sa mort. Néanmoins il est beau de glorifier ainsi les demidieux qui ne sont plus, il est beau de ne pas les faire trop attendre, et il faut remercier la ville de Bonn, et Liszt surtout, d avoir compris que le jugement de la postérité était prononcé sur Beethoven depuis longtemps. Un immense et dernier concert nous était annoncé pour la dernière journée à neuf heures du matini il fallait donc s y rendre à huit heures et demie. Le départ des Rois et des Reines, qui devaient assister à ce concert et retourner au château de Brùhl dans la journée, avait, dit-on, motivé le choix de celte heure indue. La salle était pleine longtemps avant le moment désigné ; mais LL. MM. n arrivaient pas. On les a attendues respectueusement pendant une heure, après quoi force a bien été de commencer sans elles ; et Liszt a dirigé l exécution de sa cantate. On sait quel en est le sujet. L orchestre et les chœurs, à l exception des soprani, ont rempli leur tâche avec une mollesse et une inexactitude qui ressemblaient à du mauvais vouloir. Les violoncelles surtout ont rendu un passage très important de manière à ce qu on pût le croire confié aux archets d élèves sans mécanisme et sans expérience ; les ténors et les basses ont fait plusieurs fausses entrées et d autres morcelées ou incertaines. Et cependant il a été possible tout de suite de voir la grande supériorité de cette composition sur toutes les œuvres dites de circonstance et sur ce qu on attendait même des hautes facultés de son auteur. Mais à peine le dernier accord était-il frappé, qu un mouvement extraordinaire à l entrée de la salle, annonçant l entrée des familles royales, a fait l auditoire se lever. LL. MM. la Reine Victoria, le Roi et la Reine de Prusse, le prince Albert, le prince de Prusse et leur suite, ayant pris place dans la vaste loge qui leur était destinée à droite de l orchestre, Liszt a bravement fait recommencer sa cantate. Voilà ce qui s appelle de l esprit et du sang-froid. Il avait instantanément fait ce raisonnement dont l expérience a prouvé la justesse : « Le public va croire que je recommence par ordre du Roi, et je serai maintenant mieux exécuté , mieux écouté et mieux compris. » Rien , en effet, de plus dissemblable que ces deux exécutions du même ouvrage à dix minutes de distance l une de l autre. Autant la première avait été flasque et incolore, autant la seconde a été précise et animée. La première avait servi de répétition; sans dente aussi la présence des familles royales excitait le zèle des musiciens et des choristes, et en imposait aux petites malveillances qui, dans les raDgs mélangés de cette armée musicale, avaient tout à l heure essayé de.se manifester. On se demandera pourquoi et comment la malveillance a pu exister contre Liszt, le musicien éminent dont la supériorité incontestée est, de plus, allemande, dont la célébrité est immense, la générosité proverbiale, qui passe àvecraison pourle véritableinstîgateur de tout ce qui s est fait de bien dans ces fêtes de Bonn, qui a parcouru l Europe en tous sens, donnant des concerts dont le produit était destiné à subvenir aux frais de ces fêtes, qui a même offert de combler le déficit s il y en a; quels autres senlimens pouvait-* il y avoir dans la foule que ceux qu une semblable conduite et un mérite pareil, doivent naturellement inspirer?... Eh mon dieu ! la foule est toujours la même, dans les petites villes surtout, et c est précisément ce mérite évident et cette noble conduite qui l offusquaient. Les uns en voulaient à Liszt, parce qu il à un grand talent et des succès sans exemple, les autres parce qu il est riche, ceux-ci parce qu il est jçane, Piœeejffli.ll est.géaé--",critique musicale,Actualités culturelles
244,debats,1841_04_26,1,3,P3_TB00020,"Le Chêne du Roi i comédie en trois actes et en vers, par   M. Alexandre Soumet. . Je viens du concert,c était admirable. Tous les sincères enthousiastes de ce grand art avaient répondu au nouvel appel de Liszt. 11 s agissait du monument de Beethoven dont la statue attend encore uù piédestal. Liszt s est chargé à lui seul de compléter l hotnmage à peine commencé de l Europe poétique, et sans nul doute il suffira lui seul à cette tâche illustre. Déjà il a appelé à son aide l ltalie, l Allemagne, la Hollande, la France enfin. Aujourd hui on n a joué que du Beethoven. Berlioz, triomphant, conduisait l orchestra L œuvre 124 du maître a été exécutée pour la première fois à Paris. La symphonie pastorale a terminé la séance; Liszt a joué un concerto avec l orchestre, la grande sonate avec Massard, le digue élève de Kreutzer, et à lui tout seul l Adélaïde , la plus touchante des élégies : on eût dit, à l entendre ainsi jouée, que c était encore M 1 1» Loewe qui chantait. Enfin on a encore demandé le Robert, et Liszt ne s est pas fait prier. Pour que rien ne manquât à la fête de Beethoven, Antony Deschamps, l austère poëte, avait écrit de beaux vèrs qui, même au milieu de toute cette harmonie divine, ont été dignement applaudis. Quel bonheur! Il me semble que j entends encore toutes ces mélodies errantes, elles voltigent autour de ma tête reposée, et rien qu à me les rappeler tout bas, je sens battrè mon cœur. • Nous disions donc que la tragédie de M. Soumet, te Gladiateur, avait été suivie immédiatement tfune comédie en vers dé M. âoumet, !«.# du Roi . Dieu merci! je suis dispensé de faîialyser: vous lé trouverez tout entière dans un beau roman de sir Walter Scott, Woofcloek. Tous vous",critique musicale,Actualités culturelles
245,debats,1845_09_03,1,3,P3_TB00006,"Une fois dans l église, il me fut heureusement possible de trouver auprès de l autel une place due à l intervention de M. de Marcellus, que je n avais pas vu depuis mon séjour à l Académie de Rome, en 1832, et qui se trouva là à point nommé pour me donner une nouvelle preuve de son obligeante courtoisie. A l autre extrémité de l église, c étaient des cris affreux ; on eût dit par momens des rumeurs d une ville prise d assaut. La messe cependant put commencer, et l exécution musicale en fut très remarquable. Cette partition, d un style moins hardi que la messe en re, et conçue dans des proportions moins vastes, contient un grand nombre de morceaux admirables, et rappelle souvent par son caractère celui des meilleures messes solennelles de Cherubini. C est franc, vigoureux , brillant; il y a quelquefois même, eu égard à la véritable expression exigée par le texte sacré, excès de vigueur, de mouvement et d éclat ; mate d après une opinion fort répandue, la plupart des morceaux de musique qu on trouve dans cette œuvrefurent écrits par Beethoven pour desmotletset des hymnes, et parodiés ensuite, avec une grande adresse, il est vrai, sur les paroles du service divin. Le chœur des soprani fit encore là des merveilles et me sembla mieux secondé qu aux séan- : ces précédentes par le chœur d hommes et par l orchestre. Le clergé de Bonn, fort heureusement ] moins rigide que le clergé français, avait cru pou- 1 voir permettre aux dames de chanter à celte re- 1 ligieuse solennité. Je sais bien que sans cela l exé- 1 cution de la messe de Beethoven eût été impossi- 1 ble; mais cette raison pouvait paraître de fort peu \ de poids, malgré la circonstance tout exception- 1 nelîe oû l on se trouvait ; elle n eût été , en tout 1 cas, d aucune valeur à Paris où les femmes ne sont admises à chanter daus les églises qu à la condition expresse, pour elles, de n être ni chanteuses ni musiciennes, et de répéter d une façon grotesque des airs de vaudeville ou d opéra-comique. Pendant longtemps cependant on a pu entendre le répertoire du Théâtre-Italien à Nolre-Dame-de-Lorette, mais j ai admiré autrefois à Sainte Geneviève un cantique chanté par les dames du Sacré- Cœur, sur l air : « C est l amour, l amour, l amour; » et il est interdit aux femmes, encore aujourd hui, de prendre part dans nos églises à l exécution d une messe de Chérubini ou d un oratorio de Lesueur. De sorte qu à cette heure c est dans les tliéglres et dans les concerts seulement qu on peut entendre de grandes exécutions de musique religieuse. On dirait que nous éprouvions en France, quand il s agit de nos institutions musicales eu d une influence à exercer sur nos mœurs de ce côté, un véritable bonheur à n avoir pas le sens commun. Immédiatement après la messe, il fallait voir l inauguration de la statue sur la place voisine. C est là surtout que j ai dû faire un persévérant usage de la vigueur de mes poings. Grâce à elle et en passant bravement par-dessus une barrière, je suis parvenu à conquérir une petite place dans l enceinte réservée. De sorte qu à tout prendre, l invitation que j avais reçue du comilé pour venir aux fêtes de Bonn ne m a réellement pas empêché de les voir. Nous sommes restés là entassés pendant une heure fort longue, attendant l arrivée du Roi et de la Reine de Prusse, de la Reine d Angleterre et du prince Albert, qui, du haut d un balcon préparé pour les recevoir, devaient assister à la cérémonie. Enfin LL. MM. ont paru, et les canons et les cloches de recommencer leurs fanfares, pendant que, dans un coin de la place, une musique militaire s évertuait à faire entendre quelques lambeaux des ouvertures d  Egmont et de Fidelio. Le silence s étant peu à peu rétabli , M. Breidenstein, président du comité, a prononcé un discours qui a produit sur l assistance Un efifét comparable à celui qu obtenait sans doute, dans",critique musicale,Actualités culturelles
246,debats,1854_09_20,1,3,P3_TB00003,"On écrit de Trieste, en lilyrie (Etats autrichiens!, le 13 septembre : a La prochaine saison du théâtre lyrique de Trieste sera ouverte par uu grand opéra nouveau en cinq actes, intitulé Pitlore e Duca (Peintre et Duc), qui a été mis en musique exprès pour cette scène par M. Balfi. i> La seconde nouveauté que nous verrons sur le môme théâtre est Marco Visconti, opéra de Petefelli. » 1 (Lloyd autrichien.) On lit dans les journaux de Dublin (Irlande) du 14 septembre i • a La direction du théâtre royal de Dublin vient d engager pour un mois une troupe d opéra italien dont fôttt partie MM. Tamberliek, Tagliatko, Lucchesi ; M me 9 Sophie Cruvelli, Maraï et Aloini. a Cette compagnie a donné hier soir sa première représentation, qui se composait de Norma, de Bellini. » On lit dans les journaux de Londres du 16 septembre : 8 Le festival triennal de Norfolk et de Norwich vient d être célébré dans cette dernière ville à Saint-Aodrevv s hall. Ce festival a duré trois jours; le nombre total des exécutans était de 600; les chœurs se composaient de 80 soprani, 60 hautes-contre, 00 ténors et 70 bassestailles, en tout 270 voix. Les chanteurs soii étaient MM. Simes-Recves, Gardoni, Reichardt, Bellotti, Wriss et Lablache; M mcs Angiolina Bosio, Clara Noveilo, AnaïdaGastellan, Weiss et Dolby. » On a exécuté les ouvrages suivans : Acis et Galalée, opéra de Haendel, avec l instrumentation de Mozart ; là grande messe en ut majeur, de Beethoven; la Création, oratorio de Joseph Haydn; Elie, oratorio de Félix Mendelssohn-Barlholdy, et en outre douze morceaux de musique vocale et instrumentale choisis dans les ouvrages de Beethoven, d Auber, de Vieuxtemps, de Mozart, de Meyerbeer, de Verdi, de Rossini, de Donlzetti, de Méhul, de Cberubini, de Laclmer, et de.Benedict. Ce dernier artiste remplissait les fonctions de directeur de musique. » Dans les chœurs et dans l orchestre, on remarquait plusieurs jeunes gens appartenant à la noblesse du comté de Norfolk. » La recette de la Tête musicale dont nous venons de parler a été très considérable. Comme celle des précédens festivals, elle a é é distribuée à des établissemens de bienfaisance. » l.e iecrétaire de la rédaction. Frédéric Camus.",critique musicale,Actualités culturelles
247,siecle,1857_08_22,1,2,Page1_Block8,"Au théâtre siègent, sous a présidence de M. Delsarte, MM. Reyer, Camille de Vos, Lafagë et Simiot. Dans la vaste salle de la société philharmonique, le jury se compose de MM. Elwart, président ; Laurent de Rillé, Gasti- nel, Deffesse, Lamy et Poisot. A deux heures, l attaque commence. La voix des choristes n est nullement altérée par les in tempéries. Avec quelle verve ils entament les morceaux les plus difficiles et les plus variés 1 avec quelle flexibilité ils passent du grave au doux, du plaisant au sévère, des chants guer riers aux chants religieux, des cantates éclatan tes aux rêveuses mélodies, des airs de chasse aux chansons à boire t Nous entendons successive ment l Heitrer Lebenslauf, de Reichart; le Re nard et le Corbeau, de Gounod ; le chœur d Eu- ryanths, celui de la Muette, les Gais musiciens, do Kucken; Turki}ches-Schenkenlied, de Men- delssohn ; VEnclume, d Adolphe Adam ; Notre père, de Muller... J en passe, et des meilleurs. Comment les jurés s y reconnaîtront-ils ? par quels moyens arriveront-ils à classer leurs im pressions, à juger des talens si diversement ma nifestés, à établir une comparaison sérieuse en tre des concurrens dont les chants expriment tour à tour la joie pu la mélancolie, l ardeur martiale ou le repos ? Comment jiiger le mérite respectif de masses chorales, pour chacune des quelles la tâche à accomplir n offre pas des dif ficultés identiques et n exige pas toujours les mêmes qualités? Pour asseoir les concours sur des bases certaines, peut-être faudrait-il su outre les morceaux choisis par les sociétés chorales, le jury désignât un chant qu elles au raient toutes à exécuter; ce serait monotone sans doute, mais on assurerait ainsi la sincérité de l institution. Nous soumettons cette idée à M. E. Delaporte, ancien élève du Conservatoire, qui, depuis sept ans, se voue avec tant de persévé rance à l organisation des concours musicaux, et qui dirigeait celui de Dijon. Noire observation s applique aux concours d harmonie. A Dijon, les musiques d Epinac, de Poligny, de Saint-Etienne, etc., ont joué tour à tour des valses, des marches, des ouvertures, des fantaisies avec variations ; ils ont fait des em prunts à Meyerbeer, Auber, Rossini, Donizetti, Adolphe Adam, Loïsa Puget, Luce, Gartner. Comment se prononcer, même quand les juges sont aussi compétens que MM. Kokhen, profes seur au conservatoire, Delsarte fils, Jules Mer cier, Hustache et Sain d Arod .? Le concours des fanfares et musiques d harmo nie a eu lieu dans la halle aux blés, ancienne église abbatiale. Il eût été mieux installé, confor mément au programme, dans la cour de l école de droit, ou sur la pelouse du jardin de l Arquebuse, à l ombre de ce peuplier bi-centenaire qui est une des merveilles de la localité ; mais il pleuvait toujours. Il a fallu renoncer de même à faire la distribution des prix au rond-point du parc, où des gradins étaient préparés pour des milliers de spectateurs dans une riche enceinte de ver dure. C est à la salie de la société philharmoni que que les concurrens sont venus, à cinq heu res et demie, connaître la décision des jurys. M. le préfet s était senti indisposé à la suite de là promenade du matin ; on l eût été à moins. M. le maire a ouvert la séance par une allocu tion remarquable où il a signalé l influence que les concours d orphéons pouvaient avoir sur la civilisation. On a ensuite procédé à la proclama tion des prix, à la distribution des médailles en or, en argent, en vermeil ou en bronze.Les prix des divisions supérieures ont été décernés à la choraledu3earrondissement de Lyon, à la fanfare de Dijon et à la musique du 87» de ligne. Des premiers prix ont été remportés par l école com munale de Dijon, la société chorale du Bourg, la Teutonia de Paris, la musique des pom piers de Puligny, la musique de Nuits, la musique de Châlon-surSaOne, les Enfant du Doubs (section de fanfare) et la fanfare de Dijon. L Harmonie de Paris, qui malheureusement ne comptait que seize exécutans ; l Union chorale châtillonnaise, les Enfans de la Loire, l Orphéon de Chàlon, les Enfans dii Doubs (section cho raie), l Ecole d adultes de Dijon, lés Enfans du Jura, la Chorale de Dijon, la Cécilia de Lyon, les musiques des mineurs d Epinac, d Auxonne, de Poligny, la fanfare du lycée, la musique du 6« cuirassiers, ont eu également part aux récom penses. Les orphéonistes d un village de l Aube, Ma- rayes-en-Othe, au nombre de trente, ayant eu à parcourir des routes détrempées avant d ak- teindre le chemin de fer, sont arrivés trop tard. Ils ont demandé à se faire entendre, et ont reçu, en récompense de leur zèle, une médaille d argent hors concours. 11 est impossible de donner une idée des cris d enthousiasme, des transports, des trépigne- mens avec lesquels ont été accueillies la plupart des nominations. C est que ces prix ne sont pas",critique musicale,Actualités culturelles
248,le_pays,1854_01_10,1,2,PAG_2_TB000099,"et toujours bien venus dans les nobles manoirs comme dans les chaumières, ils se souciaient fort peu des règles inventées par les clercs, et marchaient joyeusement, au grand mépris des canons et des fugues. Ils avaient bien raison. Ils tenaient la musique en équilibre. La musique est comme la justice. Elle a deux plateaux. Les maîtres de la gaie science faisaient contre-poids aux maîtres de la science sérieuse, et tout le monde chantait. La musique facile et légère forçait la main aux chapelains et entrait dans l  église, bras-dessus bras-dessous, avec le contre point qui la couvrait et la déguisait sans la masquer. L homme pieux gémissait de ces scandaleuses alliances, 1 homme de goût se bouchait quelquefois les oreilles, le docte écoutait le contre point et s  y délectait à sa façon, tandis que le bourgeois, le paysan, et le seigneur aussi, tout ee qui est peuple en musique, écoutaient avec recueillement la chanson mondaine et quelquefois grivoise, et n entendaient qu elle. Car remarquez que, pour beaucoup de gens, il n y   a pas deux musiques ; ces gens-là ne distinguent point en musique sacrée, en musique profane. Il n y a pour eux qu une musique celle qu ils savent, c est-à-dire celle qu ils ont entendue autour d un berceau, à l école, à la danse, dans le village, dans la plaine, sur la montagne; elle leur est bonne partout, et se trouve sacrée ou profane suivant l occasion et le besoin. On sait bien d ailleurs que le peuple se plaît volontiers au gros vin du cabaret..  ",critique musicale,Actualités culturelles
249,debats,1845_09_03,1,3,P3_TB00011,"j sévères qui assistaient à son exécution ; le succès . en a été complet, il grandira encore. t Le programme de ce concert était d une richesse | on peut dire excessive ; la durée des morceaux , n avait pas été bien calculée, et l on a prévu trop tard qu il ne serait pas possible de l exécuter en , entier. C est ce qui est arrivé. D abord le Roi, ju; géant aussi au premier coup d œil qu il ne pourrait rester jusqu au bout d une aussi longue séance, avait désigné les pièces qû il voulait entendre, et après lesquelles il devait partir. On s est conformé à la yolonté royale, et d après elle on a fait un triage, d où est résulté le programme suivant : 1° Ouverture d  Egmont, de Beethoven ; 2° concerts de piano, de Weber ; 3» air de Fidelio , de Beethoven; 4° air de Mendelssohn; 5® Adélaïde cantate de Beethoven. Le Roi de Prusse s entend fort bien à faire des programmes. L ouverture d Egmont a été supérieurement exécutée; la coda à deux temps, enlevée par l orchestre avec chaleur, a produit un effet électrique. M me Pleyel a dit avec une prestesse et une élégance rares le ravissant concerto de Weber. M llO Novelio a chanté correctement, mais sans trop de charme, le bel air de Fidelio avec les trois cors soli obligés. Elle eût peut-être mieux réussi dans l air d  Hidraot d Armide ; M 1 1» Novelio, avait une robe noire, brodée d arabesques rouges et or, indice de son goût pour les choses sombres et étranges, et qu on eût prise aisément pour le costume d un nécromant au moment où il va se livrer à ses sorcelleries. Cette robe a paru divertir la Reine d Angleterre beaucoup plus que le morceau de Fidelio. M llO Schloss a chanté le très bel air de Mendelssohn d une admirable manière, largement, avec des sons magnifiques d une justesse irréprochable, et une expression vraie et bien sentie. Quel dommage pour les auteurs d opéras que cette cantatrice excellente se refuse à la carrière dramatique ! Celle-là du moins sait parfaitement le français, et je connais un grand théâtre auquel elle pourrait rendre d éminens services. Je n en puis dire autant de M u ° ICratky; elle a chanté cette douce élégie Adélaïde, l une des plus touchantes compositions de Beethoven, d une manière commune, empâtée, et avec des intonations constamment trop basses. Et Listz jouait la partie de piano ! Il faut avoir entendu ce morceau chanté par Rubini, qui en tenait les traditions de Beethoven lui-même, pour savoir fout ce qu il contient de douloureuse tendresse et de langueur passionnée!... Après ces morceaux, LL. MM. s étant retirées, on a voulu continuer l exécution du programme . M. Ganz, premier violoncelle de l Opéra de Berlin, a joué avec beaucoup de talent une fantaisie sur des thèmes de Don Juan. Le jeune Moëser ensuite, dont on se rappelle le succès au Conservatoire de Paris, il y a un an, est venu dire un concertino de sa composition sur des thèmes de Weber. Quelle que soit l opinion qu on puisse avoir de sa composition, il faut reconnaître qu on n a pas plus de sûreté dans l intonation, plus de pureté de style, ni plus d ardeur concentrée ; M. Moëser, en outre, fait avec autant de bonheur que d aplomb la difficulté ; il est incontestablement à cette heure l un des premiers virtuoses de l Europe sur le violon. Son succès , qu on ne pouvait prévoir, car il a joué le morceau tout entier au milieu du plus profond silence, sans un applaudissement, sans le moindre murmure approbateur, a été subit et immense; les bravos ne finissaient pas, et le jeune virtuose en a été lui-même si surpris  que dans sa stupéfaction joyeuse il ne savait ni comment sortir de la scène, ni quelle contenance faire pour y rester. Auguste Moëser est élève de Ch. de Bériot, qui doit en être bien fier; c est un grand violon de vingt ans. M. Franco-Mendès avait eu la malheureuse idée de tenir à son solo de violoncelle, malgré celui de Ganz qui l avait précédé, et celle plus malencontreuse encore de choisir pour thèmes de sa fantaisie des airs de la Dona del Lago de Rossini ; il a donc étc très mal reçu. Et pourtant l air ô mattidini Albori est une bien fraîche et poétique inspiration, et M. Franco- Mendès joue délicieusement du violoncelle ; mais il est Hollandais et Rossini est Italien, de là double colère des fanatiques de la nationalité allemande. Ceci est misérable, il faut l avouer. Restaient à exécuter encore : un air de Faust, par M llc Sachs ;un chant d Haydn, par Staudigl, et quelques chœurs ; mais la séance avait duré près de quatre heures, la foule s écoulait lentement sans demander son reste, et le flot m a entraîné. Il est vrai que je n ai pas lutté contre lui d une façon bien désespérée. C est qu un autre concert m attendait encore le soir. Le Roi de Prusse avait bien voulu m inviter à celui qu il donnait à ses hôtes au château de Brulh , et j étais , pour plus d un motif, fort désireux de conserver la force de m y rendre et de l apprécier. En arrivant à Briihl au milieu de ces féeriques illuminations et d une pluie battante, autre foule éblouissante à combattre à armes courtoises; les",critique musicale,Actualités culturelles
250,debats,1856_07_12,1,1,P1_TB00033,"CONCERTS. Séance historique de M. F. Le Couppey. Concert antique de M. F. Delsarte. Accompagnement d orgue du plaincliant, par MM. L. Dietscli et Fessier. Inauguration de l orgue de Saint-Eugène. Ecole de musique religieuse de M. Aiedermeyer.— Concerts de MM. Vivier, —Beaulieu, Frassinetti. M. Desseins. M. Alex. Batta. M. E.- Prudent. MM. Louis Lacombe. M? Rosalie Roux. M lle Caroline Beauvais. Séance de l Orphéon. Cours de MM. Molard et Laval.   Les séances de musique historique deviennent à la mode. Entre les deux auditions des Archives de chant de M. Delsarte, M. F. Le Couppey, habile professeur au Conservatoire, a placé une séance de musique de clavecin et de piano, remarquable par un choix exquis de compositions des maîtres qui se ,sonl succédé depuis le seizième siècle jusqu à l époque actuelle : gerbe musicale composée des fleurs les plus odorantes et les plus « diversifiées », comme le bouquet de la bouquetière Glycera. Là, nous .avons vu défiler Claude Merulo, organiste de l église de Saint-Marc à Venise, né en 1532,. mort vers 1606; Jérôme Frescobaldi, organiste de Saint-Pierre de Rome, né  en 1587 , mort vers 1654; André Champion de Cliambonnières, premier claveciniste de la chambre de Louis XIV, né vers 1620, mort vers 1670 ; puis François Couperin dit le Grand , également premier claveciniste de Louis XIV, puis Rameau, puis Dominique Scarlatti, puis Handel,puis les deux grands Bach : Ch.-Philippe-Emmânuel et Jean-Sébastien; puis Haydn, Clemeuti, Mozart, Dusseck; enfui tout un obituairo de clavecinistes et pianistes qui .se termine par cet aimable et ingénieux Frédéric Chopin, mort à Païqs en 1849, âgé de quarante ans; Chopin ,",critique musicale,Actualités culturelles
251,debats,1853_03_23,1,2,P2_TB00023,"Pour la clôture, demain mercredi, l Opéra donnera Moïse, chanté par Gueymard, Morelii, Obin , lunes Poinsot et Laborde. Le 26 de ce mois, samedi saint, à huit heures du soir, il sera donné au théâtre impérial de l Gpéra-Comique, au profit de la caisse de secours et pensions de l Association des artistes musiciens, un concert spirituel auquel prêteront leur concours M mes Ugalde, Lefebvre, Miolan, Wertheimber, MM. Masset, Bussine et Faure, et MM. Yieuxtemps et Emile Prudent. L orchestre sera dirigé par M. Georges Bousquet. Les chœurs seront conduits par M. Cornette. La Société Sainte-Cécile donnera, le vendredisaint 23 mars,jà huit heures du soir, salle Sainte-Cécile, un concert spirituel en dehors de l abonnement, et dont voici le programme : 1° symphonie cantate de Mendelssohn ; 2» marche religieuse de Cherubini, tirée de la messe du Sacre ; 3 Âdoremus te, chœur à quatre voix, de Palestrina; 4° air de la Flûte enchantée de Mozart, chanté par M. Depassio; 5° symphonie pastorale de Beethoven ; 8 U Lauda Sion, duo chanté par M cs Poinsot et Vavasseur ; 7° ouverture dé la Flûte mehantèe de Mozart. L orchestre sera dirigé par M- Seghers, et les chœurs seront conduits par M. Wekerlin. ■*; < p v    *- 3 -■ - Chemin de fer du Nord. Service d été à partir du t cr avril. Addition d un train de vitesse de Paris pour Boulogne, partant à 10 h. du matin et arrivant à 3 h. 30 m. du soir. Départs d heure en heure pour Saint-Denis et Enghien, : 1 y > •• >",critique musicale,Actualités culturelles
252,debats,1846_10_19,1,3,P3_TB00013,"53,681 193,416 fr. 25 c. Bagages et marchandises 79,160 77 ~~ fr. 2cl Recettes antérieures du 20 juin au 2 octobre 3,044,587 30 Total au 9 octobre... 3,317,164fr.32c. On sait que M. Habeneck a donné sa démission de chef d orchestre de l Opéra, et que M. Girard, chef d orchestre de l Opéra-Comique, a été nommé à sa place. M. Battut reste second chef d orchestre. M. Deldevez, auteur du ballet de Paquita, est élevé au poste de troisième chef d orchestre au même théâtre. C est M. Tilmant ainé, chef d orchestre du Théâtre-Italien, qui succédera à M. Girard à l Opéra-Comique. MM. Girard et Tilmant se partageront les fonctions de chef de la musique du Roi. Quant à la place de chef d orchestre de la Société des concerts du Conservatoire, on ne sait pas encore qui l aura. Ce sont les membres mêmes de cette Société qui le décideront à la majorité des voix.",critique musicale,Actualités culturelles
