id,work,date,issue,page,block,text,label
904,siecle,1857_07_08,1.0,4.0,Page1_Block47,"DEÏÏ!FE!CS ,.,™. Cotte er.n, dont l eflcacité à été rec«)imue par 1. s plus célèbres médecins, calme a l instant les plis vlolens maux de dents. Elle empêche la l ormatioL , du tartre qui par son enduit limoneux ronge et a tèsro les dents ies plus solides. Comme tonique» e : e ra<Te,rmit et cicatrise les soncives boursouflées o» saignantes, prévient et guérit tes altérations et la ca rie des dents; iw sou avome balsamique, elle dom« de la fraîcheur à la bouche. — Le flacon, 3 fr. Cïpi rrs-itii, pharmacien,rue J.-*. Kouhiseau. ILS mftto U SitMIH , spéciaux des hdpi .anx Beaiijon, Saint Louis, etc., a Par.s. pour la puéii^ori do^ ina adi s de? cheveux, do la peau, tei gnes, durlris denMngeaUoiiti , etc., etc., reçoivent, éj i etiW-Kue-Wite, fitub- tî  -, u o)oré, à Paris, mardi, samedi, de 13 A 4 h.—77 Oti ! guérisons <ie a 1857. —Consultat on, 10 fr. — Guérisons à forfait : 1,000. 800, 690, <!*,(), -m, !00 et 50 f.",publicité médicale
65,debats,1849_06_27,1.0,4.0,P4_TB00003,"Même absence de nouvelles qu hier, même slagnation. Les fonds out néanmoins légèrement fléchi. On s apprête à la réponse des primes ; le cours de 87 fr, qst le terrain sur lequel la lutte s engage : les uns cherchent à le maintenir, les autres à précipiter le Cinq pour 100 au-dessous de ce prix. Les efforts des deux partis sont visibles. En attendant, on remarque que l argent arrive toujours au comptant. Il -y a fréquemment du déport, et au plus, depuis quelques jours, 5 c. de report. On attend le dënoûment du siège de Rome avec d autant plus d impatience que cet événement peut s accomplir avant ou pendant ia liquidation. On a annoncé à la Bourse la prise d Ancône. L armée russe a pénétré en Hongrie. Au. comptant. Comparativement aux derniers cours d hier, le Cinq pour 100 a baissé de 50 c. (à 86 fr. 90 c.) ;le Trois pour 100 , de*ss c. (à 53 fr. 55 c.) ; les Certificats de conversion d Actions de Lvon, de 20 c. (à 86 fr. 90 c.). Le Quatre pour 100 a été négocié à 72 fr. Les Actions de la Banque de France ont fermé à 2,270 fr. (ex-dividende dç 5à fr.). Les Obligations de la ville de Paris ont baissé de 5 fr. (à 1,285 fr.) ; celles de 1859 ont monté de 2 fr. 50 c. (à 1,105 fr.); les Actions des Quatre-Canaux , de 2 fr. 50 c. (à 1,017 fr. 50 c.) ; celles da Canal de Bourgogne ont été négociées à 875 fr. i Chemins de fer. Les Actions du chemin de fer de Versailles, rive gauclie, ont monté de 5 fr. (à 175 fr.) ; celles de Paris à Rouen ont baissé de 2 fr. 50 c. (à 557 fr. 50 c.) ; celles de Rouen au Havre, de 5 fr. (à 255 fr.)} celles de Bordeaux, de 2 fr. 50 c. (à 500 fr.) ; tXIUs du Nord, de 2 ff. 50 e. (à 527 fr. 50 c.) ; celles",bourse
1005,constitutionnel,1853_03_30,1.0,2.0,Page1_Block10,"Nous plaçons sous lesyeux de nos lecteurs une analysé de la réponse faite par le con seil fédéral suisse à la note de l ambassa deur d Autriche du 15 mars.     Dans ce document, qui porte la date de Berne, 21 mars, le conseil fédéral s est attaché à répon dre aux accusations portées par le cabinet de; Vienne contre le canton du Tessin. C est sur les témoignages, les actes, les rapports, lettres, extraits de proeès-verbauX, recueillis par son commissaire extraordinaire, le colonel Bour geois, Que le conseil se fonde pour établir que les meneurs de l insurrection de Milan n avaient* pas choisi comme Centre de conspiration et commé refuge la trontière italienne de la .Suisse. Dès le mois de Septembre 1852 , le département de la police fédérale avait donné l ordre d arrê ter Mazîini , depuis long - temps expulsé, s il se présentait sur le territoire de la confédé ration; il n a pas été possible de savgir si Maz- zint avait traversé la Suisse. Quoi qu il en soit, on ne saurait rendre le conseil responsable des actes d un réfugié qui, par son adresse, sa connaissance dés langues, ses trâvestissemens et ses passeports,  a sans cesse échappé à toutes les investigations. Les agens intimes de Mazzini, Clementi et Gaz&a- la, sont venus tous deux dU Piémont dans le Tes sin. Mais, à la première nouvelle de leur arrivée, les autorités cantonales ont donné l ordre de les poursuivre etjtje. les arrêter. Ces autorités, soit dans le canton Su Tessin, soit dans les Gri sons, n ont pas montré moins de zèle pour la sai sie du dépôt d armes dePeschiero. Avant même la nouvelle de l échauffourée de Milan, la police tes- sineise envoyait à Coire, par le télégraphe, l avis de l existence du dépôt d armes. Il est vrai que Saffi et Pestrucci ont séjourné quelque temps dans le canton. Toutefois, signalés par les réfu giés tolérés, ils ont été expulsés par une ordon nance du 11 janvier. Le 7 février, la nouvelle de L attentat de Milan arriva. Lé gouvernement, pour la garantie des rapports internationaux, fit une démarche ulté rieure en mettant sur pied quelques compagnies de troupes dans les districts des frontières. Le 8 février seulement, deux jours après l attentat de Milan, un masque distribua quelques proclama tions de Mazzini, dans un bal masqué. L enquête a fait découvrir un officier hongrois, Mosker, comme distributeur, et il a été sur-le-champ ar rêté. •     Le conseil reconnaît que des tentatives ont été faites dans le Tessin pour provoquer une dé monstration en faveur de la Lombardie. Elles .ont complètement échoué. 11 n existe même pas daps tout le pays un seul comité révolutionnaire; L enquête a également démontré que des pro clamations destinées à la Lombardie n avaient pas été imprimées dans le Tessin. Le conseil entre ensuite dans la discussion des faits. Il rappelle les événemens de 1848 et 1849, et constate que,dans les circonstances les plus gra ves, les-cantons ne se sont pas départis de leur neutralité. Sans doute, le conseil n a pas ignoré les bruits d insurrection qui couraient; il sa vait qu une prise d armes révolutionnaire était publiquement annoncée,d abord pour l époque de la proclamation de l Empire en France, puis pour le mois de janvier, et enfin pour le S février. Mais il n a pas jugé à propos d en informer les auto rités lombardes, de même qu il n  avait pas cju devoir prévenir le gouvernement français.  »• En résumé, le conseil insiste sur sa première demande et sollicite le rétablissenieilt, aussi prompt que possible, de l ancien état des choses.  Quant à l expulsion desTessinois de la Lombar die, les réclamations concernant les capucins, les séminaires de Poleggio et d Ascona, questions qui sont ea dehors de l objet, de la note actuelle, le conseil fédéral s einéfùre à la correspondance an térieure, et se réserve de traiter ces points dans de notïvtHes communications.",révolution
306,le_pays,1853_01_18,1.0,2.0,PAG_2_TB000092,"On peut juger par cette allocution de Mozart il ses interprètes, à quel point il s était attaché au caractère de chaque personnage, avec quelle intelligence il avait mesuré tous les effets de son drame musical, et quelle croyance il avait dans le mérite de sa musique. Il ne se trompait pas. Si durant sa vie, rapide comme un nuage d or, on ne fit à cette vaste et poétique création de Don Juan qu un accueil presque vulgaire, il fut vengé après sa mort. Autour dé sa tombe honorée et couverte de fleurs, l Europe entière, soulevée par l admiration, éclata en applau di ssements.Voilà bienlç§ homn4esi les",critique musicale
1111,presse,1847_06_19,1.0,1.0,Page1_Block55,"ontre la tienne 1 • — Laissez-moi du moins retirer de îa mien-   ne le bonheur qu olle peut me donner, repon-  it Michel. Prenez cette bourse, mon pere, et . qu il-n en soi t jamais rien distrait pour mon usage. C est la dot de ma sœur, c est- l intérêt .- île l argent qu elle m a prêté, lorsque j étais à , Rome; et, si je ne gagne jamais de quoi la fair»; plus riche, que du moâis elle profite de mort.: jour do succès. 0 mon père I s ikria-t-il avec : des yeux pleins do .larmes* en voyant que Pi«r- Angelo ne voulait point accepter son sacrifice-» ne me refusez pas, vous me briseriez le cceuri Votre tendrosse aveugle a Jailli corrompra mon caractère. Aidez-moi à sortir de la con dition d égoïste que vous vouliez me faire ac cepter. Encouragez mes bons mouv^mens. au lieu de m en ôter lo fruit. Cebji-ci n est qu? trop tardif. , C est vrai, enfant, je le devrais, dit Pier- Angelo attendri ; ïhais, songe qu ici, ce n est point un vulgaire saçri ûce d argent -que tu vêux faire. S il s agissait de te retrancher quel ques plaisirs, ce serait peu de chose et je n hé siterais pas. . Mais c est ton avenir d artiste y; c est la culture de ton intelligence, c est l« flamme même de ta rie qui sont i t, contenus dans ce petit réseau de soie 1 C est un an d ér tudes à Rome ! Et qui sait quand tfl|ourras en gagner autant ? La pi incesse ne donrera plus de bals, peut-être. Les autres nobles ne sont ni si riches, ni si généreux. De telles occasions ne se rencontrent pas souvent, et: peuvent même ne pas se rencontrer deux fois. Je me fais vieux, je peux tomber demain de mon échelle et nfestropier; avec quoi repren drais-tu la- vie d artiste? Tu n es donc pas ef- tlrayé à l idée que, pour le glaisirde donner li ne dot h la sœur, tu t exposes h redevenir arti san et à rester artisan toute (ff vie? - — Soit! s écria Michel; cela ne me fuit pïvwv",roman-feuilleton
503,siecle,1847_11_06,1.0,4.0,Page1_Block7,"i L aatrç accçjrte^ on Altèle ; mais le bruit réveille le chaudronniçr et l au bergiste^ couchés dans des chambres séparées. Chacun d eux ouvre une fe nêtre; Dufour.et Prudhomme prennent la-fuite, laissant dans la cour cheval .éti ïoit^e. Moraac voit son cheval attelé à la vpiture .de l aubergiste et se dît V Mon logeur veut me voler. Parrain, qui a vu comme Mernac, lui prêle , charitablement l intention d enlever sa : charrette. Tous les.deux descendent, et tous les jdeùx en se rencontrant crient au voleur. L aubergiste veut arrêter .le cbâudronriier, ^t le.cl^auironniér inet la main au collet dé l aubergiste. , Une doublé plainte est portée ; heureusement, l innocence de chacun est bien tôt reconnue.  , C œUà lé dernier des feits^ui méritent d être rapporte. ;   Nous termiuerons cet eiposè en disant un mot de* l importance des ob-; . jet§. volés. La njoitiè seulement desmarehaiiâises dérobées a pu être évaluée; , éllê représente un total,de 110,891 fr, 45 c, r Quant 3ÙX; chevaux, I^.bande en a pris asse? pour remonter un escadron ; .q^apj 3nx machiaes deloçomotion, si l on réunissait toutes celles, qu ils oçit ,^nléyé6s on aurait un matériel suffisant pour recommencer la campagne, deËambouillet. Qu on en juge. lia été volé par Thibert et sçs complices : 43c)wvàux, lâpharrettes, 6 cabriolets, 3 tilburys, un char a bancs, deux, car rioles et 7 voitures.   . Comme nous l avons dit déjà, les accusés renvoyés devant la cour d as sises softt au nombre de il ; voici leurs-noms : ; ; . - I f ClàuAaTnibérl., dit l\obar,t> 4) ans, marchand forrain ; ^Eugkne-Joseph Dickers, .dit Duterrage, 21 ans, peintre en bàtimens ; 3° Pierre-rThèoiiore Cboheaux, dit liasse, dit Durand, 40 ans, marchand de moueh.oirs ; 4° Jean Dùfour,,fiit Auguste Dubois, 33 aps, marchand forain ; 5? Jsan-Françoiss s Prudhomme, 48 ans, marchand colporteur, présentement extrait: du bagne",fait divers
20,le_corsaire,1848_09_03,1.0,3.0,PAG_3_TB000062,"« Le verbe, abaissant sa nature jusqu à l infimité terrestre, ne pouvait mieux être rendu que par celte figure hunvAne q:;e les deux contrées revêtirent, chacune selon son génie, de la plus suave beauté, l Occident lui prêtant les grâces et la fleur de l adolescence, l Orient croyant à peine l honorer assez en lui donnant les traits de l ange. » Vient ensuite le Lion, second emblème du Christ. Le symboiisme du roi des animaux se retrouve surtout dan3 les mille légendes dont il a été l objet. Le grand mérite de Mme d Aysac est d en avoir toujours choisi les plus gracieuses, et d en avoir relevé le récit par des commentaires pleins de fraîcheur",bibliographie
159,debats,1860_06_27,1.0,3.0,P3_TB00018,"Parce qu une convention indiquée dans un traité avec un but déterminé a toujours été considérée comme une partie intégrante du traité, et qu elle lie les contractans autant que le traité lui-même; Parce que s il n existe aucune difficulté pour la fixation des droits ad valorem, il n en est pas de même pour la conversion des droits en droits spécifiques dont l appréciation doit être définitive et par catégo ries, et qu à ce point de vue il a été indispensable d en soumettre les_bases à une convention pour : qu elles soient fixées d un commun accord ; Parce qu enfin le traité et la convention ne peuvent être interprétés par des tiers, mais seulement par l entente des parties contractantes. m. s. i: eÉKKBan tnaspi» de cihti.i,- dajac : Messieurs, quand une question a été bien étudiée, bien débattue, réduite en quelque sorte à sa plus simple expression, il me semble que le bon sens tout seul suffit pour la résoudre. C est dans celte pensée que je viens, messieurs les sénateurs, vous soumettre quelques simples et courtes observations. ïe suis loin de nier les avantages du traité de commerce, pas même sa nécessité, en ses bases principales; c est-à-dire l introduction plus facile des matières premières  Utiles à nos industries manufacturières et l abolition des prohibitions qui ne sont plus de notre temps. i Mais je ne comprends pas, je l avoue, que nous voulions renoncer bénévolement aux avantages, c est-à-dire à la partie des droits protecteurs que nous laisse encore le traité.",commerce
699,debats,1841_11_16,1.0,2.0,P2_TB00008,"On nous communique les renseignemens suivans sur Béchard, que la Cour d assises de la Seine vient de condamner à mort. Vendredi soir, après sa condamnation 4 mort, et le lendemain samedi, Bochard a montré un grand abattement Par moment il s écriait : «Quel coup terrible cela va-porter à ma pauvre mère ! » Ce samedi matin-, entre neuf et  dix heures, M. labbe Montés, aumônier des prisons, est aile lui porter les secours de son ministère. Le condamné la re»u avec beaucoup d- empressement et a montré un fi? l L n r nl ! r - Vers d ,î x l abbé Montés était encore piès de lui, lorsque M. Gaillard de Montaigu, avocat du f,°£amn e , est arrivé àla Conciergerie. Il a été reçh »ar a iïn nn« o ri l rfM aV<n qU ?.  U t a ca  s M u elq«es mstâns. » . aro ap l  6s   tous deux sont,entrés dans la chambre ou se trouve le condamné. Cette nièce, précédée d une autre plus obscure, s appelle la salle dès morts. Le SW voyant son avocat, s est, mis à verser, dès jaimes; il a remercié avec la, plus vive effusion. Il lui a parlé en lUl te de sa famille dans les termes les plus touchans : « Ah! je ne serais pas ici, a-t-il ajouté, sans le malheur qui ma fait deserter; J... Je vous remercie bien de tout ce que vous avez fait pour moi... Je vous en Prie faites encore quelque chose... Ecrivez ù. ma pauvre famille. » Bechard s est pourvu en cassation contre les deux arrêts",justice
920,constitutionnel,1856_09_02,1.0,3.0,Page1_Block2,"aura commandé-, ou de les garder si l entrepri se réalise les espérances qu elle fait concevoir. Ajoutons une dernière considération, qui n est pas sans valeur- -et sans portée dans un pays de générosité tel que la France : c est qu  en contribuant à former le capital de la  so ciété des maisons mobiles, on concourra à la réalisation de-l œuvre d utilité publique, dont les chAletg de la barrière des Martyrs sont l i nauguration. — (Broquet.)  Provinces danubiennes. — Confirmation des immunités et privilèges dont les principautés fouissent ab antique. — Garanti? collective des puissances contractantes,.-— Itéuision des lois et statuts organiques (4). - ; (Suite.)  Àfiiî de ne pas retarder par la discussio de questions accessoires la conclusion de la la paix si impatiemment désirée par le monda entier, les hautes parties contrac tantes s étaient réservé, dans l article 23 du traité général, diî s entendre ultérieu rement sur la composition de la commis sion changée de réviser les lois et statuts organiques des principautés danubiennes. ■ Dans le but d imprimer aux travaux de cette commission une marche plus rapide, les puissances occidentales étaient d avis que la commission dont il s agit ne devait être composée que de cinq membres, soit : d un des délégués des cinq puissances di rectement intéressées dans cette question, savoir : l Autriche, la France, la Grande- Bretagne, la Russie et la Turquie.   Les plénipotentiaires de la Prusse ne. pa raissaient pas avoir pour instruction d in sister sur la participation de leur cour aux délibérations de la- commission sié geant à Bucliarest. Ce ne fut que plu sieurs semaines après 4a clôture du con grès de Paris, que le baron de Manteuffel revendiqua pour son gouvernement le droit d être lui aussi représenté au sein de la com mission européenne. Le président du con seil du roi Frédéric-Guillaume étavait cette prétention dq double titre de la Prusse en qualité de grande puissance et de signataire du traité de paix. L impression qu en reçurent, d abord les cabinets de Paris et de Londres n étaitpoint favorable à la demande du gouvernement prussien.,Les travaux de la commission spéciale siégeant à Bucharest n auront d a près le texte clair et précis du traité de paix, qu un caractère préparatoire, at tendu que l entente finale ayant trait à l organisation définitive des principautés . danubiennes sera consacrée par une con vention conclue à Paris, et à laquelle in terviendront toutes les parties contractant tes. Dès lôrs la dignité de la Prusse,- ainsi que sa qualité de signataire de la paix, res tent d avance sauvegardées. Ajoutons que la Sardaignc, comme il fallait s y attendre, informée de la prétention mise en avant par la Prusse, ne manqua pas d invoquer, outre son titre de partie contractante au traité du 30 mars, celui bien plus con cluant encore de. puissance belligérànté, Qualité qui lui avait valu le droit de pren- re part aux négociations dès l ouverture du congrès de Pains, tandis que les plénipo- tentàires de la Prusse n y furent admis qu à la onzième séance. D après la réserve que lord Glarendon avait faite dans la deuxième, la Prusse ne fut invitée à se fatea représenter au congrès que lorsque les p&èipales clau ses du traité général, et nommément celles concernant les principautés danubiennes . étaient déjà arrêtées,  et à l unique ejlet de participer à la négociation relative au re nouvellement de la convention des/)&rotYs, donj elle était signataire:. . On ne doit pas oublier, que, lorsqu à la . suite de l acceptation de l ultimatum autri chien par la cour de Pétersbourg, fut agitée .la questiôn dè savoir quelles puissances in terviendraient aux règlemens -de la paix ; prévalut le principe d après lequel il ne fal Jait admettre au congrès de Paris que les Etats qui, soit ont fait la guerre, com me laSardaigne, soit onL accepté l éven tualité d y prendre part d une manière-ac tive comme l Autriche, qui.s y était positi vement engagée en paraphant le memoran dum du 14 novembre. , Toutefois, comme la prétention actuelle de la Prusse ne touche, en dernière anal y se, qu a une question de forme,-où les puis sances occidentales peuvent céder sans compromettre aucun ftriucipe, mues d ail leurs par le sincère désir de favoriser, par îa bonne ententes entre toutes les puissan tes signataires de la paix, une prompte et heureuse solution du problème assez dif ficile- qu elles poursuivent dans la réor ganisation des provinces danubiennes, la - France et la Grande-Bretagne ont consenti à ce que la Prusse déléguât un plénipoten tiaire à la commission européenne, sous la jcondilioi -expresse que la même faculté serait, sans contestation aucune, accordée à laSardaigne. . - La tâche principale de la commission européènne sera de réunir tous les élémens nécessaires pour assumer 4e jugement des   puissances contractantes sur l exacte ap préciation des besoius du pays, .afin que l œuvre régénératrice qu elles ont entre prise résume les droits acquis dans le passé, les nécessités du présent et les garanties ded avenir.  ",relations internationales
